CharacterID,Prefix,First,Middle,Nickname,Last,Suffix,Title,UsualRef,Sex,Species,Comment,LaterLast,Description,GrammarSchool,MainClub
317,,Cynthia,,,Drassilis,,,,Female,Human,,,Ambitious,,
318,Mrs,,,,Drassilis,,,,Female,Human,,,Ambitious,,
319,,Audrey,,,Sheridan,,,,Female,Human,,,,,
320,,Arnold,,,Abney,,,,Male,Human,,,,,
321,Mr,,,,Glossop,,,,Male,Human,,,,,
322,,Sam,,Smooth,Fisher,,,Smooth Sam Fisher,Male,Human,,,,,
323,,Buick,,,MacGinnis,,,,Male,Human,,,,,
324,,,,,,,Lord Mountry,,Male,Human,,,,,
325,,Augustus,,,Beckford,,,,Male,Human,,,,Sanstead,
326,,Peter,,,Pett,,,,Male,Human,,,Millionaire,,
327,,Anne,,,Chester,,,,Female,Human,,,,,
328,,Jimmy,,Piccadilly Jim,Crocker,,,,Male,Human,,,Wild socialite on the mend,,
329,,Eugenia,,,Crocker,,,,Female,Human,,,Disapproving,,
330,,Bingley,,,Crocker,,,,Male,Human,,,Enthusiastic baseball fan,,
331,,Jerry,,,Mitchell,,,,Male,Human,,,,,
332,,Willie,,,Partridge,,,,Male,Human,,,,,
333,,,,,,,Lord Wisbeach,,Male,Human,,,,,
334,,,,Jack the Gentleman,,,,,Male,Human,,,,,
335,Mr,,,,Sturgis,,,,Male,Human,,,,,
336,Miss,,,,Trimble,,,,Female,Human,,,Private detective and ardent socialist,,
337,,Bud,,,Smithers,,,,Male,Human,,,,,
338,Lord,Percy,,,Whipple,,,,Male,Human,,,,,
339,,Gertrude,,,Butterwick,,,,Female,Human,,,,,
340,,John,G,,Butterwick,,,,Male,Human,,,,,
341,,Ambrose,,,Tennyson,,,,Male,Human,,,,,
342,,Sandy,,,Miller,,,,Female,Human,,,,,
343,,Reggie,,,Pepper,,,,Male,Human,,,,,
344,,Alexander,Charles,Oofy,Prosser,,,,Male,Human,,,,,Drones
345,,Myrtle,,,Prosser,,,,Female,Human,,,,,
346,,,,,Pillingshot,,,,Male,Human,,,,St Austin's,
347,,Samuel,Galahad,Sam,Bagshott,,,,Male,Human,,,,,Drones
348,,Godfrey,,Biscuit,Brent,,Lord Biskerton,,Male,Human,,,,,Drones
349,,Reginald,,Reggie,Tennyson,,,,Male,Human,,,,,Drones
350,,Frederick,,Freddie,Widgeon,,,,Male,Human,,,,,Drones
351,,Harold,,Ginger,Winship,,,,Male,Human,,,,,Drones
352,,Algernon,,Algy,Wymondham-Wymondham,,,,Male,Human,,,,,Drones
353,,George,,,Widgeon,,,,Male,Human,,,,,
354,,Sally,,,Foster,,,,Female,Human,,,,,
355,,Leila,,,Yorke,,,,Female,Human,,,,,
356,,William,,,Tell,,,,Male,Human,,,,,
357,,William,FitzWilliam Delamere,Bill,Dawlish,,Lord Dawlish,,Male,Human,,,Golf lover,,
358,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,
